Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,YearMonth,DayOfWeek,Hour,Category
489787,22195,LARGE HEART MEASURING SPOONS,1,2009-12-02 11:53:00,1.65,15542,United Kingdom,1.65,2009,12,2009-12,2,11,
489789,21181,PLEASE ONE PERSON  METAL SIGN,6,2009-12-02 11:59:00,2.1,15833,United Kingdom,12.600000000000001,2009,12,2009-12,2,11,
489792,21931,JUMBO STORAGE BAG SUKI,1,2009-12-02 12:06:00,1.95,14527,United Kingdom,1.95,2009,12,2009-12,2,12,
489792,21777,RECIPE BOX WITH METAL HEART,2,2009-12-02 12:06:00,7.95,14527,United Kingdom,15.9,2009,12,2009-12,2,12,
489792,21156,RED SPOTTY CHILDS APRON,14,2009-12-02 12:06:00,1.95,14527,United Kingdom,27.3,2009,12,2009-12,2,12,
489791,21590,KINGS CHOICE CIGAR BOX MATCHES ,1,2009-12-02 12:06:00,1.25,15542,United Kingdom,1.25,2009,12,2009-12,2,12,
489800,21497,FANCY FONTS BIRTHDAY WRAP,25,2009-12-02 12:26:00,0.42,17768,United Kingdom,10.5,2009,12,2009-12,2,12,
489804,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,6,2009-12-02 12:38:00,3.75,14667,United Kingdom,22.5,2009,12,2009-12,2,12,
489807,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-02 12:43:00,8.95,15581,United Kingdom,17.9,2009,12,2009-12,2,12,
489811,21232,STRAWBERRY CERAMIC TRINKET BOX,72,2009-12-02 12:54:00,1.06,16210,United Kingdom,76.32000000000001,2009,12,2009-12,2,12,
489816,21498,RED SPOTS  WRAP ,25,2009-12-02 13:20:00,0.42,16086,United Kingdom,10.5,2009,12,2009-12,2,13,
489822,21041,RED SPOTTY OVEN GLOVE DOUBLE,1,2009-12-02 13:26:00,2.95,14204,United Kingdom,2.95,2009,12,2009-12,2,13,
489827,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2009-12-02 13:51:00,0.95,17412,United Kingdom,22.799999999999997,2009,12,2009-12,2,13,
489832,20829,GLITTER HANGING BUTTERFLY STRING,4,2009-12-02 14:06:00,2.1,14549,United Kingdom,8.4,2009,12,2009-12,2,14,
489837,71038,WHITE HANGING BEADS CANDLE HOLDER,2,2009-12-02 14:21:00,5.45,14396,United Kingdom,10.9,2009,12,2009-12,2,14,
489863,47591C,BLUE FAIRY CAKE CHILD'S APRON,1,2009-12-02 14:55:00,1.95,15917,United Kingdom,1.95,2009,12,2009-12,2,14,
489874,85031C,CURIOUS IMAGES SCRAP BOOK SET,3,2009-12-02 15:38:00,4.95,18001,United Kingdom,14.850000000000001,2009,12,2009-12,2,15,
489875,79072,TEATIME CAKE TIN WITH HANDLE,1,2009-12-02 15:41:00,9.95,17841,United Kingdom,9.95,2009,12,2009-12,2,15,
489875,21299,EDWARDIAN TOILET ROLL UNIT ,1,2009-12-02 15:41:00,12.75,17841,United Kingdom,12.75,2009,12,2009-12,2,15,
489876,21440,12 MINI TOADSTOOL PEGS,1,2009-12-02 15:44:00,1.25,15917,United Kingdom,1.25,2009,12,2009-12,2,15,
489878,20753,RETRO PINK SPOT WASHING UP GLOVES,2,2009-12-02 15:51:00,2.1,15989,United Kingdom,4.2,2009,12,2009-12,2,15,
489878,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1,2009-12-02 15:51:00,9.95,15989,United Kingdom,9.95,2009,12,2009-12,2,15,
489879,17084G,MOON INCENSE,25,2009-12-02 16:02:00,0.21,17660,United Kingdom,5.25,2009,12,2009-12,2,16,
489912,82616B,FRAPPUCINO SCARF KNITTING KIT,6,2009-12-03 10:26:00,2.95,13931,United Kingdom,17.700000000000003,2009,12,2009-12,3,10,
489912,85179A,GREEN BITTY LIGHT CHAIN,6,2009-12-03 10:26:00,4.65,13931,United Kingdom,27.900000000000002,2009,12,2009-12,3,10,
489914,20675,BLUE SPOTTY BOWL,16,2009-12-03 10:28:00,1.25,12921,United Kingdom,20.0,2009,12,2009-12,3,10,
489998,21688,SILVER PLATE CANDLE BOWL SMALL,12,2009-12-03 11:19:00,2.95,15658,United Kingdom,35.400000000000006,2009,12,2009-12,3,11,
490002,85040A,S/4 PINK FLOWER CANDLES IN BOWL,3,2009-12-03 11:46:00,1.65,17322,United Kingdom,4.949999999999999,2009,12,2009-12,3,11,
490003,48187,DOOR MAT NEW ENGLAND,4,2009-12-03 11:51:00,6.75,16159,United Kingdom,27.0,2009,12,2009-12,3,11,
490008,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2009-12-03 12:10:00,2.95,15768,United Kingdom,8.850000000000001,2009,12,2009-12,3,12,
490008,21754,HOME BUILDING BLOCK WORD,1,2009-12-03 12:10:00,5.95,15768,United Kingdom,5.95,2009,12,2009-12,3,12,
490009,21933,PINK VINTAGE PAISLEY PICNIC BAG,1,2009-12-03 12:13:00,2.95,12835,United Kingdom,2.95,2009,12,2009-12,3,12,
490013,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2009-12-03 12:27:00,1.25,17069,United Kingdom,15.0,2009,12,2009-12,3,12,
490014,21590,KINGS CHOICE CIGAR BOX MATCHES ,24,2009-12-03 12:28:00,1.25,15466,United Kingdom,30.0,2009,12,2009-12,3,12,
490017,21156,RED SPOTTY CHILDS APRON,1,2009-12-03 12:31:00,1.95,14159,United Kingdom,1.95,2009,12,2009-12,3,12,
490047,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2009-12-03 13:02:00,1.65,17913,United Kingdom,3.3,2009,12,2009-12,3,13,
490048,84991,60 TEATIME FAIRY CAKE CASES,24,2009-12-03 13:03:00,0.55,16779,United Kingdom,13.200000000000001,2009,12,2009-12,3,13,
490054,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2009-12-03 13:22:00,0.55,17017,United Kingdom,13.200000000000001,2009,12,2009-12,3,13,
490056,22154,ANGEL DECORATION 3 BUTTONS ,5,2009-12-03 13:25:00,0.42,13208,United Kingdom,2.1,2009,12,2009-12,3,13,
490056,75049L,LARGE CIRCULAR MIRROR MOBILE,6,2009-12-03 13:25:00,1.25,13208,United Kingdom,7.5,2009,12,2009-12,3,13,
490063,90003D,CRYSTAL PAIR HEART HAIR SLIDES,1,2009-12-03 13:49:00,3.75,17271,United Kingdom,3.75,2009,12,2009-12,3,13,
490077,20711,JUMBO BAG TOYS ,6,2009-12-03 15:09:00,1.95,17293,United Kingdom,11.7,2009,12,2009-12,3,15,
490080,22075,6 RIBBONS ELEGANT CHRISTMAS ,12,2009-12-03 15:20:00,1.65,13531,United Kingdom,19.799999999999997,2009,12,2009-12,3,15,
490083,21682,LARGE MEDINA STAMPED METAL BOWL ,2,2009-12-03 15:35:00,4.95,14031,United Kingdom,9.9,2009,12,2009-12,3,15,
490093,84987,SET OF 36 TEATIME PAPER DOILIES,12,2009-12-03 15:56:00,1.45,12949,United Kingdom,17.4,2009,12,2009-12,3,15,
490093,20990,SPRING FLOWER CHOPSTICKS SET/5,10,2009-12-03 15:56:00,1.95,12949,United Kingdom,19.5,2009,12,2009-12,3,15,
490100,21165,BEWARE OF THE CAT METAL SIGN ,6,2009-12-03 16:21:00,1.69,13001,United Kingdom,10.14,2009,12,2009-12,3,16,
490100,21358,TOAST ITS - HAPPY BIRTHDAY,2,2009-12-03 16:21:00,1.25,13001,United Kingdom,2.5,2009,12,2009-12,3,16,
490100,21479,WHITE SKULL HOT WATER BOTTLE ,5,2009-12-03 16:21:00,3.75,13001,United Kingdom,18.75,2009,12,2009-12,3,16,
490109,84750A,PINK SMALL GLASS CAKE STAND,8,2009-12-03 16:51:00,1.95,14755,United Kingdom,15.6,2009,12,2009-12,3,16,
490112,21241,GREEN SPOTTY CUP,8,2009-12-03 17:04:00,0.85,13037,United Kingdom,6.8,2009,12,2009-12,3,17,
490118,46000M,POLYESTER FILLER PAD 45x45cm,4,2009-12-03 17:46:00,1.55,17851,United Kingdom,6.2,2009,12,2009-12,3,17,
490118,22296,HEART IVORY TRELLIS LARGE,3,2009-12-03 17:46:00,1.65,17851,United Kingdom,4.949999999999999,2009,12,2009-12,3,17,
490121,21928,JUMBO BAG SCANDINAVIAN PAISLEY,2,2009-12-03 17:57:00,1.95,14750,United Kingdom,3.9,2009,12,2009-12,3,17,
490124,84007,MAGIC GARDEN MOUNT FUJI,1,2009-12-03 18:08:00,2.55,16791,United Kingdom,2.55,2009,12,2009-12,3,18,
490127,22200,FRYING PAN PINK POLKADOT ,4,2009-12-03 18:13:00,4.25,14156,EIRE,17.0,2009,12,2009-12,3,18,
490136,21114,LAVENDER SCENTED FABRIC HEART,5,2009-12-03 19:13:00,1.25,17432,United Kingdom,6.25,2009,12,2009-12,3,19,
490136,22204,MILK PAN BLUE RETROSPOT,1,2009-12-03 19:13:00,3.75,17432,United Kingdom,3.75,2009,12,2009-12,3,19,
490140,21818,GLITTER CHRISTMAS HEART ,1,2009-12-03 20:03:00,0.85,12872,United Kingdom,0.85,2009,12,2009-12,3,20,
490140,46126A,ELVIS WALLHANGING / CURTAIN,3,2009-12-03 20:03:00,1.25,12872,United Kingdom,3.75,2009,12,2009-12,3,20,
490143,20982,12 PENCILS TALL TUBE SKULLS,24,2009-12-04 08:40:00,0.85,14286,United Kingdom,20.4,2009,12,2009-12,4,8,
490152,48184,DOOR MAT ENGLISH ROSE ,4,2009-12-04 10:00:00,6.75,12714,France,27.0,2009,12,2009-12,4,10,
490154,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2009-12-04 10:18:00,4.95,16335,United Kingdom,4.95,2009,12,2009-12,4,10,
490154,21485,RED SPOT HEART HOT WATER BOTTLE,1,2009-12-04 10:18:00,4.95,16335,United Kingdom,4.95,2009,12,2009-12,4,10,
490154,72487,ROSES WHITE ROUND CANDLE,4,2009-12-04 10:18:00,1.49,16335,United Kingdom,5.96,2009,12,2009-12,4,10,
490158,84986B,SET OF 36 SILVER PAPER DOILIES,12,2009-12-04 10:47:00,1.45,12759,Netherlands,17.4,2009,12,2009-12,4,10,
490161,47580,TEA TIME DES TEA COSY,6,2009-12-04 10:57:00,2.55,17160,United Kingdom,15.299999999999999,2009,12,2009-12,4,10,
490161,21231,SWEETHEART CERAMIC TRINKET BOX,24,2009-12-04 10:57:00,1.25,17160,United Kingdom,30.0,2009,12,2009-12,4,10,
490202,20685,RED SPOTTY COIR DOORMAT,2,2009-12-04 12:03:00,6.75,15078,United Kingdom,13.5,2009,12,2009-12,4,12,
490229,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6,2009-12-04 12:20:00,5.95,18223,United Kingdom,35.7,2009,12,2009-12,4,12,
490229,79320, FLAMINGO LIGHTS,4,2009-12-04 12:20:00,4.95,18223,United Kingdom,19.8,2009,12,2009-12,4,12,
490272,37448,CERAMIC CAKE DESIGN SPOTTED MUG,1,2009-12-04 12:36:00,1.49,14680,United Kingdom,1.49,2009,12,2009-12,4,12,
490279,21754,HOME BUILDING BLOCK WORD,1,2009-12-04 12:37:00,5.95,16891,United Kingdom,5.95,2009,12,2009-12,4,12,
490284,21841,BABY MOUSE RED GINGHAM DRESS,1,2009-12-04 12:54:00,4.25,14979,United Kingdom,4.25,2009,12,2009-12,4,12,
490288,21137,BLACK RECORD COVER FRAME,72,2009-12-04 13:00:00,3.39,17157,United Kingdom,244.08,2009,12,2009-12,4,13,
490290,21893,POTTING SHED SEED TIN,6,2009-12-04 13:21:00,4.25,16325,United Kingdom,25.5,2009,12,2009-12,4,13,
490292,72267,PREMIUM CHURCH CANDLE,2,2009-12-04 13:23:00,2.1,16723,United Kingdom,4.2,2009,12,2009-12,4,13,
490299,21531,RETRO SPOT SUGAR JAM BOWL,1,2009-12-04 14:14:00,2.55,13680,United Kingdom,2.55,2009,12,2009-12,4,14,
490299,21407,BROWN CHECK CAT DOORSTOP ,1,2009-12-04 14:14:00,4.25,13680,United Kingdom,4.25,2009,12,2009-12,4,14,
490300,22149,FELTCRAFT 6 FLOWER FRIENDS,1,2009-12-04 14:19:00,2.1,12970,United Kingdom,2.1,2009,12,2009-12,4,14,
490304,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2009-12-04 14:35:00,1.25,17593,United Kingdom,15.0,2009,12,2009-12,4,14,
490311,21032,SPACE CADET WHITE,10,2009-12-04 15:11:00,1.25,16451,United Kingdom,12.5,2009,12,2009-12,4,15,
490312,72800F,4 IVORY DINNER CANDLES GOLD FLOCK,2,2009-12-04 15:16:00,2.55,17961,United Kingdom,5.1,2009,12,2009-12,4,15,
490331,46776D,WOVEN SUNSET CUSHION COVER ,1,2009-12-04 15:30:00,4.95,18181,United Kingdom,4.95,2009,12,2009-12,4,15,
490353,22302,COFFEE MUG PEARS  DESIGN,6,2009-12-04 16:37:00,2.55,15514,United Kingdom,15.299999999999999,2009,12,2009-12,4,16,
490362,85178,VICTORIAN SEWING KIT,6,2009-12-04 17:31:00,1.25,12748,United Kingdom,7.5,2009,12,2009-12,4,17,
490362,48173C,DOOR MAT BLACK FLOCK ,1,2009-12-04 17:31:00,6.75,12748,United Kingdom,6.75,2009,12,2009-12,4,17,
490375,21080,SET/20 RED SPOTTY PAPER NAPKINS ,12,2009-12-05 12:42:00,0.85,13999,United Kingdom,10.2,2009,12,2009-12,5,12,
490389,22047,EMPIRE GIFT WRAP,25,2009-12-05 15:18:00,0.42,15484,United Kingdom,10.5,2009,12,2009-12,5,15,
490398,22193,RED DINER WALL CLOCK,2,2009-12-06 10:37:00,8.5,17920,United Kingdom,17.0,2009,12,2009-12,6,10,
490399,48197,DOOR MAT BIRD ON THE WIRE,2,2009-12-06 10:38:00,6.75,12975,United Kingdom,13.5,2009,12,2009-12,6,10,
490400,79323P,PINK CHERRY LIGHTS,8,2009-12-06 10:41:00,6.75,16104,United Kingdom,54.0,2009,12,2009-12,6,10,
490403,22175,PINK OWL SOFT TOY,1,2009-12-06 11:13:00,2.95,17920,United Kingdom,2.95,2009,12,2009-12,6,11,
490403,84586L,"PINK ROSES/GINGHAM PATCH RABBIT 8""",2,2009-12-06 11:13:00,2.95,17920,United Kingdom,5.9,2009,12,2009-12,6,11,
490461,82597,BOMBS AWAY METAL SIGN,1,2009-12-06 12:07:00,2.1,13736,United Kingdom,2.1,2009,12,2009-12,6,12,
490465,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,4,2009-12-06 12:14:00,1.65,13448,United Kingdom,6.6,2009,12,2009-12,6,12,
490466,21232,STRAWBERRY CERAMIC TRINKET BOX,3,2009-12-06 12:16:00,1.25,17085,United Kingdom,3.75,2009,12,2009-12,6,12,
490471,22317,FIVE CATS HANGING DECORATION,1,2009-12-06 12:28:00,2.95,15878,United Kingdom,2.95,2009,12,2009-12,6,12,
490473,21754,HOME BUILDING BLOCK WORD,2,2009-12-06 12:31:00,5.95,15860,United Kingdom,11.9,2009,12,2009-12,6,12,
490477,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,6,2009-12-06 12:41:00,4.95,17850,United Kingdom,29.700000000000003,2009,12,2009-12,6,12,
490483,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2009-12-06 12:52:00,4.95,13782,United Kingdom,9.9,2009,12,2009-12,6,12,
490499,84341B,SMALL PINK MAGIC CHRISTMAS TREE,72,2009-12-06 13:45:00,0.38,17406,United Kingdom,27.36,2009,12,2009-12,6,13,
490504,21007,ETCHED GLASS DROPLET DECORATION,4,2009-12-06 14:03:00,1.45,15311,United Kingdom,5.8,2009,12,2009-12,6,14,
490508,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2009-12-06 14:14:00,2.1,17850,United Kingdom,12.600000000000001,2009,12,2009-12,6,14,
490515,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3,2009-12-06 15:08:00,5.95,15479,United Kingdom,17.85,2009,12,2009-12,6,15,
490524,21756,BATH BUILDING BLOCK WORD,3,2009-12-06 15:35:00,5.95,14123,United Kingdom,17.85,2009,12,2009-12,6,15,
490526,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,18,2009-12-06 15:41:00,1.05,17858,United Kingdom,18.900000000000002,2009,12,2009-12,6,15,
490526,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2009-12-06 15:41:00,2.95,17858,United Kingdom,17.700000000000003,2009,12,2009-12,6,15,
490527,21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,6,2009-12-06 15:46:00,2.95,14940,United Kingdom,17.700000000000003,2009,12,2009-12,6,15,
490528,21327,SKULLS WRITING SET ,3,2009-12-06 15:48:00,1.65,16686,United Kingdom,4.949999999999999,2009,12,2009-12,6,15,
490534,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2009-12-06 16:17:00,2.95,17530,United Kingdom,2.95,2009,12,2009-12,6,16,
490557,82580,BATHROOM METAL SIGN,12,2009-12-07 10:33:00,0.55,16124,United Kingdom,6.6000000000000005,2009,12,2009-12,0,10,
490608,84670,JAPANESE CROCHETED ANIMAL,1,2009-12-07 11:35:00,0.42,14955,United Kingdom,0.42,2009,12,2009-12,0,11,
490609,22113,GREY HEART HOT WATER BOTTLE,2,2009-12-07 11:39:00,3.45,14037,United Kingdom,6.9,2009,12,2009-12,0,11,
490612,84454,WOBBLING METAL CHICKEN EASTER,12,2009-12-07 11:46:00,0.85,17508,Greece,10.2,2009,12,2009-12,0,11,
490681,20960,WATERMELON BATH SPONGE,1,2009-12-07 13:35:00,1.25,17988,United Kingdom,1.25,2009,12,2009-12,0,13,
490692,21232,STRAWBERRY CERAMIC TRINKET BOX,5,2009-12-07 13:57:00,1.25,16018,United Kingdom,6.25,2009,12,2009-12,0,13,
490694,21485,RED SPOT HEART HOT WATER BOTTLE,24,2009-12-07 14:02:00,4.25,13089,United Kingdom,102.0,2009,12,2009-12,0,14,
490706,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,15,2009-12-07 14:58:00,4.65,17865,United Kingdom,69.75,2009,12,2009-12,0,14,
490711,20729,RED SPOTTY CANDY BAG,2,2009-12-07 15:26:00,1.25,17841,United Kingdom,2.5,2009,12,2009-12,0,15,
490711,20721,OWLS CHARLOTTE BAG,1,2009-12-07 15:26:00,0.85,17841,United Kingdom,0.85,2009,12,2009-12,0,15,
490722,21888,BINGO SET,4,2009-12-07 15:55:00,3.75,16717,United Kingdom,15.0,2009,12,2009-12,0,15,
490727,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2009-12-07 16:38:00,1.25,17231,United Kingdom,7.5,2009,12,2009-12,0,16,
490761,22341,LOVE GARLAND PAINTED ZINC ,12,2009-12-08 09:56:00,1.65,13382,United Kingdom,19.799999999999997,2009,12,2009-12,1,9,
490764,22224,WHITE LOVEBIRD LANTERN,6,2009-12-08 10:41:00,2.95,14558,United Kingdom,17.700000000000003,2009,12,2009-12,1,10,
490770,21561,DINOSAUR LUNCHBOX WITH CUTLERY,1,2009-12-08 11:13:00,2.55,17854,United Kingdom,2.55,2009,12,2009-12,1,11,
490782,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2009-12-08 11:22:00,1.25,15079,United Kingdom,15.0,2009,12,2009-12,1,11,
490899,21481,FAWN BLUE HOT WATER BOTTLE,6,2009-12-08 13:04:00,2.95,16732,United Kingdom,17.700000000000003,2009,12,2009-12,1,13,
490899,22139,11 PC CERAMIC TEA SET POLKADOT,3,2009-12-08 13:04:00,4.95,16732,United Kingdom,14.850000000000001,2009,12,2009-12,1,13,
490920,21379, CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2009-12-08 13:19:00,1.25,18203,United Kingdom,2.5,2009,12,2009-12,1,13,
490924,22155,STAR DECORATION RUSTIC,2,2009-12-08 13:27:00,0.42,17978,United Kingdom,0.84,2009,12,2009-12,1,13,
490926,82583,HOT BATHS METAL SIGN,2,2009-12-08 13:38:00,2.1,15031,United Kingdom,4.2,2009,12,2009-12,1,13,
490941,21396,RED SPOTTY EGG CUP ,6,2009-12-08 14:03:00,1.25,14527,United Kingdom,7.5,2009,12,2009-12,1,14,
490941,71053,WHITE METAL LANTERN,2,2009-12-08 14:03:00,3.75,14527,United Kingdom,7.5,2009,12,2009-12,1,14,
490945,84839,SWEETHEART KEY CABINET,1,2009-12-08 14:20:00,6.75,16892,United Kingdom,6.75,2009,12,2009-12,1,14,
490953,21779,MA CAMPAGNE MINI WOODEN CHEST,2,2009-12-08 14:56:00,8.5,13204,United Kingdom,17.0,2009,12,2009-12,1,14,
490954,21390,FILIGRIS HEART WITH BUTTERFLY,1,2009-12-08 15:00:00,1.25,15924,United Kingdom,1.25,2009,12,2009-12,1,15,
490957,21624,VINTAGE UNION JACK DOORSTOP,6,2009-12-08 15:12:00,5.95,15823,United Kingdom,35.7,2009,12,2009-12,1,15,
490957,21928,JUMBO BAG SCANDINAVIAN PAISLEY,20,2009-12-08 15:12:00,1.95,15823,United Kingdom,39.0,2009,12,2009-12,1,15,
490964,21085,SET/6 WOODLAND PAPER CUPS,1,2009-12-08 16:09:00,0.65,14646,Netherlands,0.65,2009,12,2009-12,1,16,
490972,22415,WHITE TISSUE REAM,2,2009-12-08 16:40:00,7.95,14911,EIRE,15.9,2009,12,2009-12,1,16,
490981,21329,DINOSAURS  WRITING SET ,12,2009-12-08 16:56:00,1.65,13855,United Kingdom,19.799999999999997,2009,12,2009-12,1,16,
490981,21577,SAVE THE PLANET COTTON TOTE BAG,6,2009-12-08 16:56:00,2.25,13855,United Kingdom,13.5,2009,12,2009-12,1,16,
491024,21832,CHOCOLATE CALCULATOR,12,2009-12-08 19:00:00,1.65,17157,United Kingdom,19.799999999999997,2009,12,2009-12,1,19,
491034,35004S,SET OF 3 SILVER FLYING DUCKS,12,2009-12-09 07:01:00,1.95,13491,United Kingdom,23.4,2009,12,2009-12,2,7,
491035,21755,LOVE BUILDING BLOCK WORD,3,2009-12-09 08:58:00,5.95,13455,United Kingdom,17.85,2009,12,2009-12,2,8,
491056,84934,ASSTD DESIGN POP ART SLIM PEN,40,2009-12-09 11:01:00,0.85,17428,United Kingdom,34.0,2009,12,2009-12,2,11,
491064,84519B,CARROT CHARLIE+LOLA COASTER SET,3,2009-12-09 11:58:00,2.95,16782,United Kingdom,8.850000000000001,2009,12,2009-12,2,11,
491064,21690,SILVER  CANDLEPOT JARDIN ,1,2009-12-09 11:58:00,3.75,16782,United Kingdom,3.75,2009,12,2009-12,2,11,
491073,21068,VINTAGE BILLBOARD LOVE/HATE MUG,72,2009-12-09 12:45:00,0.38,15403,United Kingdom,27.36,2009,12,2009-12,2,12,
491075,21429,RED GINGHAM ROSE JEWELLERY BOX,8,2009-12-09 12:48:00,1.65,14211,United Kingdom,13.2,2009,12,2009-12,2,12,
